"delegate_id","voting_power.vp","voting_power.th_vp","voting_power.ch_vp_r6","voting_power.gc_vp_s6","voting_power.gc_vp_mm_s6","voting_power.ch_member_r6","voting_power.gc_member_s6","voting_power.coc_member_s6","voting_power.coc_vp_s6","voting_power.dab_member_s6","voting_power.dab_vp_s6","voting_power.sc_vp_s6"
"0x3eee61b92c36e97be6319bf9096a1ac3c04a1466",11013762.683268255,10.604835495805329,,,,,,,,,,
"0x1b686ee8e31c5959d9f5bbd8122a58682788eead",5479234.334925972,5.275797239859865,,,,,,,,,,
"0xf11b6a8c3cb8bb7dbc1518a613b10ceb0bbfc06b",5204574.85713762,5.011335523816704,,,,,,,,,,
"0x06ad892ce23c136bbda3a821570343a2af3e2914",5178952.90276067,4.986664880453253,,,,,,,,,,
"0xeff8d84e0fd304550da242040ccd45bd44ce71f1",5018117.374727425,4.831800973746357,,,,,,,,,,
"0x1f4ba000d042ca0045ef094691615f3912debea8",4464426.904568033,4.298668335928067,,,,,,,,,,
"0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa",3297462.4451830387,3.1750318025179483,0.9803921568627451,,,,,,,,,
"0x429f9ada43e9f345cbb85ec88681bb70df808892",3241535.01659401,3.1211808891701356,,,,,,,,,,
"0x5e349eca2dc61abcd9dd99ce94d04136151a09ee",3206039.977943576,3.0870037367627257,0.9803921568627451,,,,,,,,,
"0x2b888954421b424c5d3d9ce9bb67c9bd47537d12",2811302.217033668,2.7069220935662965,,,,,,,,,,
"0xa6e8772af29b29b9202a073f8e36f447689beef6",2280287.8080181736,2.1956235831973996,,7.6923076923076925,,,,,,,,
"0x4f41877773e44f2275da1942fee898556821bf66",1902940.0276781442,1.8322862524146541,,7.6923076923076925,,,,,,,,
"0x7b0befc5b043148cd7bd5cfeeef7bc63d28edec0",1591262.2613632514,1.5321806904443764,,,,,,,,,,
"0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0",1427203.8693990114,1.374213580699931,0.9803921568627451,,,,,,,,,
"0x406b607644c5d7bfda95963201e45a4c6ab1c159",1425214.2994893878,1.372297881024377,,7.6923076923076925,,,,,,,,
"0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c",1419059.687199026,1.3663717817650478,0.9803921568627451,7.6923076923076925,,,,,,,,
"0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04",1300934.8025766548,1.252632725875975,,,,,,,,,,
"0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1",1247406.3949598162,1.201091760862142,,,,,,,,,,
"0x94db037207f6fb697dbd33524aadffd108819dc8",1242149.3985390621,1.1960299501215832,0.9803921568627451,,,,,,,,,
"0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b",1175897.608978767,1.1322380063695179,0.9803921568627451,7.6923076923076925,,,,,,,,
"0x070341aa5ed571f0fb2c4a5641409b1a46b4961b",1155636.6288855223,1.1127292910420068,,,,,,,,,,
"0xb55a948763e0d386b6defcd8070a522216ae42b1",1100129.47145825,1.0592830447151051,,,,,,,,,,
"0x3d2d722b443a5cae8e41877bb7cd649f3650937c",1083354.7300624803,1.0431311284170481,,,,,,,,,,
"0x5c459147312928bd278837ed72a0c31cca0a5244",1083228.4834988818,1.0430095692299315,,,,,,,,,,
"0xb79294d00848a3a4c00c22d9367f19b4280689d7",1070206.7533721952,1.030471319602121,,7.6923076923076925,,,,,,,,
"0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5",1063266.205279148,1.0237884653502034,0.9803921568627451,7.6923076923076925,,,,,,,,
"0x20c01bb48784d1973138b6ddb46308c81b6cbe70",1033847.8770416614,0.9954624027236592,,,,,,,,,,
"0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5",1033184.6784722062,0.9948238278848524,,,,,,,,,,
"0x995013b47ef3a2b07b9e60da6d1fff8fa9c53cf4",1030692.7353811386,0.9924244075136628,,,,,,,,,,
"0x8ccde64d05a7677d80a5960cb75fb8de486cf98d",1026958.1325699708,0.9888284658183897,,,,,,,,,,
"0x80fc5137886375e7e5c9fbaaf3f1bfcf86bce482",1025635.0090001976,0.9875544681663991,,,,,,,,,,
"0x2ac5393d1f4be4ef89b45ee2f93d7f20a5cf6d5a",1021990.186115253,0.9840449729813516,,,,,,,,,,
"0x3fb19771947072629c8eee7995a2ef23b72d4c8a",1018733.7169899708,0.9809094124682083,,,33.333333333333336,,,,,,,
"0x11cf2f033b079fbb195425bfcb7d5dac4db2d752",1011496.7056607885,0.9739411022880871,,,,,,,,,,
"0x7575f04a46b6d76142723e765f7546c354773406",1003505.6144388985,0.9662467102553935,,7.6923076923076925,,,,,,,,
"0x2b7839e74e8a9145e594810508006b3e856088f8",1002086.2531697531,0.9648800480890414,,,,,,,,,,
"0x2deb7c0704f9696c976ed73d449badefab67c399",1001801.7849889692,0.964606141854836,,,,,,,,,,
"0x395136a88f087a2a013e6621ccfc551e5b9aa552",1000952.2168603753,0.9637881171247494,,,,,,,,,,
"0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76",849584.7065067566,0.8180406924822753,0.9803921568627451,,,,,,,,,
"0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251",746078.1123724391,0.7183771682996568,,,,,,,,,,
"0xdab0d648a2a771e6952916a822dddf738b535f5a",721368.3210052238,0.6945848204780466,,,,,,,,,,
"0x8f73be66ca8c79382f72139be03746343bf5faa0",635585.516665895,0.6119870240165846,,,,,,,,,,
"0x839395e20bbb182fa440d08f850e6c7a8f6f0780",568566.5332224461,0.5474563713275098,0.9803921568627451,,,,,,,,,
"0x45a10f35befa4ab841c77860204b133118b7ccae",469703.5409257084,0.45226403787341174,0.9803921568627451,,,,,,,,,
"0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25",436767.7030543205,0.42055106633161543,0.9803921568627451,7.6923076923076925,,,,,,,,
"0x2c6c638b93ba5a11dbd419305f14749fc8aa2b63",388694.164297882,0.3742624377426101,,,,,,,,,,
"0x6cea573473348367a5f66e0f261bfa25799e6a60",371917.3826492452,0.3581085569437146,,,,,,,,,,
"0x5d36a202687fd6bd0f670545334bf0b4827cc1e2",303486.3959169845,0.2922183268760447,0.9803921568627451,,,,,,,,,
"0x9e5b45e4872de2ee4b6ffbd06b3735501826b032",291196.9874721478,0.28038520874501377,,,,,,,,,,
"0xb933aee47c438f22de0747d57fc239fe37878dd1",286421.98471655423,0.2757874958496729,,,,,,,,,,
"0xdb5781a835b60110298ff7205d8ef9678ff1f800",277353.15755028126,0.26705538285578034,0.9803921568627451,,,,,,,,,
